,State,Station,Spoke ,address,gmap_latitude,gmap_longitude
180,Gujarat,Dahod,FMCG-DAHOD - ER,"Dahod, Gujarat",22.8344992,74.26061849999999
181,Gujarat,Karjan,FMCG-KARJAN - ER,"Karjan, Gujarat",22.0534997,73.1201988
182,Gujarat,Godhra,FMCG-GODHRA - ER,"Godhra, Gujarat",22.7788044,73.6142795
183,Gujarat,Chotila,FMCG-CHOTILA - ER,"Chotila, Gujarat",22.424833,71.19621
184,Gujarat,Botad,FMCG-BOTAD - ER,"Botad, Gujarat",22.1722509,71.663622
185,Uttar Pradesh,Varanasi,FMCG-VARANASI - ER,"Varanasi, Uttar Pradesh",25.3176452,82.9739144
186,Uttar Pradesh,Chandauli,FMCG-CHANDAULI - ER,"Chandauli, Uttar Pradesh",25.2604696,83.264538
187,Uttar Pradesh,Deoria,FMCG-DEORIA - ER,"Deoria, Uttar Pradesh",26.5024286,83.7791283
188,Uttar Pradesh,Allahabad,FMCG-ALLAHABAD - ER,"Allahabad, Uttar Pradesh",25.4358011,81.846311
189,Uttar Pradesh,Jaunpur,FMCG-JAUNPUR - ER,"Jaunpur, Uttar Pradesh",25.7464145,82.68370329999999
190,Uttar Pradesh,Fatehpur,FMCG-FATEHPUR - ER,"Fatehpur, Uttar Pradesh",25.9209503,80.7996035
191,Uttar Pradesh,Kanpur,FMCG-CO-KANPUR-CRC - ER,"Kanpur, Uttar Pradesh",26.449923,80.3318736
192,Uttar Pradesh,Raebareli,FMCG-RAE BARELI - ER,"Raebareli, Uttar Pradesh",26.2144806,81.25281389999999
193,Uttar Pradesh,Khushinagar,FMCG-KUSHINAGAR - ER,"Khushinagar, Uttar Pradesh",26.7398787,83.8869698
194,Uttar Pradesh,Lucknow,FMCG-LUCKNOW - ER,"Lucknow, Uttar Pradesh",26.8466937,80.94616599999999
195,Uttar Pradesh,Gonda,FMCG-GONDA - ER,"Gonda, Uttar Pradesh",27.1339874,81.96189790000001
196,Uttar Pradesh,Faizabad,FMCG-FAIZABAD - ER,"Faizabad, Uttar Pradesh",26.7729751,82.1457934
197,Uttar Pradesh,Basti,FMCG-BASTI - ER,"Basti, Uttar Pradesh",26.8139844,82.7629893
198,Uttar Pradesh,Gorakhpur,FMCG-GORAKHPUR - ER,"Gorakhpur, Uttar Pradesh",26.7605545,83.3731675
199,Uttar Pradesh,Unnao,FMCG-UNNAO - ER,"Unnao, Uttar Pradesh",26.5393449,80.4878195
200,Uttar Pradesh,Bela Pratapgarh,FMCG-BELA PRATAPGARH - ER,"Bela Pratapgarh, Uttar Pradesh",25.9203366,81.9912007
201,Maharashtra,Akluj,FMCG-AKLUJ - ER,"Akluj, Maharashtra",17.882445,75.0205283
202,Maharashtra,Barshi,FMCG-BARSHI - ER,"Barshi, Maharashtra",18.2333856,75.6941478
203,Maharashtra,Nanded,FMCG-NANDED - ER,"Nanded, Maharashtra",19.1485289,77.3191471
204,Maharashtra,Sillod,FMCG-SILLOD - ER,"Sillod, Maharashtra",20.3079382,75.65281159999999
205,Maharashtra,Shrigonda,FMCG-SHRIGONDA - ER,"Shrigonda, Maharashtra",18.6175439,74.6981267
206,Maharashtra,Parbhani,FMCG-PARBHANI - ER,"Parbhani, Maharashtra",19.2608384,76.774776
207,Maharashtra,Katol,FMCG-KATOL - ER,"Katol, Maharashtra",21.273289,78.5859566
208,Maharashtra,Jamkhed,FMCG-JAMKHED - ER,"Jamkhed, Maharashtra",18.7380109,75.31206399999999
209,Maharashtra,Nagpur,FMCG-NAGPUR - ER,"Nagpur, Maharashtra",21.1458004,79.0881546
210,Maharashtra,Baramati,FMCG-BARAMATI - ER,"Baramati, Maharashtra",18.1791791,74.6077971
211,Maharashtra,Ahmednagar,FMCG-AHMEDNAGAR - ER,"Ahmednagar, Maharashtra",19.0948287,74.74797889999999
